Original_Label,Predicted_Label
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Clear,Clear
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Mostly Cloudy,Cloudy
Partly Cloudy,Clear
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Mostly Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Partly Cloudy,Clear
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Partly Cloudy,Partly Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Partly Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Clear,Clear
Clear,Clear
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Partly Cloudy
Partly Cloudy,Partly Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Partly Cloudy,Partly Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Clear,Clear
Mostly Cloudy,Cloudy
Partly Cloudy,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Partly Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
